SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539524,LALPATHLAB  ,A ,Q,906.35,920.00,890.10,903.00,903.00,908.95,305,3268,2951231.00,
539528,AAYUSH      ,X ,Q,71.00,71.00,66.00,68.50,68.50,69.25,56,5630,386167.00,
539542,LUXIND      ,B ,Q,1712.00,1758.00,1672.05,1701.20,1693.40,1712.55,500,4375,7491192.00,
539544,ABHIINFRA   ,XT,Q,4.40,4.40,4.26,4.26,4.26,4.40,2,11,47.00,
539551,NH          ,B ,Q,285.05,303.15,284.00,294.85,296.50,286.40,913,30300,8887615.00,
539595,NATECO      ,X ,Q,89.20,89.65,89.10,89.60,89.65,89.30,491,73729,6594455.00,
539597,JSLHISAR    ,B ,Q,199.70,199.75,191.10,192.70,192.70,197.55,1096,112659,21969560.00,
539636,PRECAM      ,B ,Q,117.45,121.45,117.45,119.55,119.55,118.05,122,6759,806828.00,
539658,TEAMLEASE   ,B ,Q,2205.40,2350.00,2205.05,2309.95,2309.95,2239.85,79,467,1065590.00,
539678,QUICKHEAL   ,B ,Q,334.50,349.25,320.00,337.30,337.30,337.35,4915,284082,96010746.00,
539679,KAPILRAJ    ,X ,Q,43.35,48.60,34.20,34.90,34.90,42.30,2452,878859,36762776.00,
539693,ALORA       ,X ,Q,4.75,4.75,4.75,4.75,4.75,4.75,9,1282,6089.00,
539724,HYPERSOFT   ,X ,Q,9.52,10.52,9.52,9.58,10.25,10.02,39,8811,86134.00,
539725,GOKULAGRO   ,T ,Q,26.60,26.75,25.40,26.60,26.70,25.50,45,9714,254015.00,
539742,SIMBHALS    ,B ,Q,22.15,22.15,21.65,22.00,22.00,22.55,13,785,17097.00,
539770,DARJEELING  ,XT,Q,15.87,16.65,15.40,15.75,15.40,15.87,42,24449,390006.00,
539773,ADVIKCA     ,X ,Q,3.73,4.00,3.60,3.99,4.00,3.73,169,74604,296185.00,
539785,PDMJEPAPER  ,B ,Q,26.80,31.00,25.55,30.30,30.30,25.90,1165,295612,8783995.00,
539787,HCG         ,B ,Q,322.00,342.95,320.10,339.55,339.55,325.10,1298,411922,139891008.00,
539799,BHARATWIRE  ,B ,Q,126.10,132.20,125.05,126.85,126.00,125.20,613,60385,7751393.00,
539806,H1190M36RG  ,F ,Q,10.85,10.85,10.85,10.85,10.85,10.90,1,500,5425.00,
539807,INFIBEAM    ,A ,Q,156.70,161.50,152.90,159.10,159.70,156.00,2758,939210,146644805.00,
539814,RADHEY      ,XT,Q,15.27,15.27,15.27,15.27,15.27,14.56,1,1,15.00,
539837,RPEL        ,M ,Q,131.25,131.25,131.25,131.25,131.25,135.00,1,1000,131250.00,
539839,FRANKLIN    ,M ,Q,53.00,53.00,52.00,52.00,52.00,52.90,2,16000,840000.00,
539841,LANCER      ,M ,Q,94.50,94.50,94.50,94.50,94.50,95.50,1,4000,378000.00,
539842,SYSCO       ,M ,Q,62.00,62.00,61.50,61.50,61.50,61.00,2,5000,308750.00,
539844,EQUITAS     ,A ,Q,146.05,154.00,144.45,150.60,150.60,148.35,3258,468462,70133965.00,
539861,SKIL        ,T ,Q,49.30,49.30,45.50,48.40,48.40,47.85,60,21192,987355.00,
539871,THYROCARE   ,B ,Q,693.95,710.00,691.05,695.70,693.00,687.10,172,5030,3531966.00,
539874,UJJIVAN     ,A ,Q,379.30,390.50,367.75,385.55,385.55,378.05,2199,161568,61388216.00,
539876,CROMPTON    ,A ,Q,251.05,264.45,248.50,253.10,250.25,248.70,2779,80144,20513890.00,
539883,PILANIINVS  ,T ,Q,2990.00,3025.00,2960.00,3025.00,3025.00,3002.20,12,185,555013.00,
539889,PARAGMILK   ,A ,Q,282.50,293.00,276.00,281.95,281.95,279.65,1698,142142,40607805.00,
539910,KOCL        ,ST,Q,0.90,0.90,0.90,0.90,0.90,0.90,2,1050,945.00,
539917,NAGARFERT   ,B ,Q,23.40,24.15,21.75,21.85,21.85,22.55,1715,595050,13721663.00,
539921,SEIL        ,M ,Q,157.00,157.00,156.50,156.50,156.50,155.00,2,11200,1753200.00,
539939,YASHCHEM    ,M ,Q,174.80,177.45,171.75,172.20,171.75,174.75,33,49500,8622450.00,
539940,MAXVIL      ,B ,Q,81.95,82.50,78.00,80.50,81.70,81.15,262,20209,1635727.00,
539944,RXXX1SR2G   ,F ,Q,10.18,10.18,10.18,10.18,10.18,10.17,3,4500,45810.00,
539945,NV20IWIN    ,B ,Q,51.10,51.16,51.10,51.16,51.16,51.40,2,200,10226.00,
539956,TAALENT     ,X ,Q,175.00,180.00,165.10,168.85,169.00,164.25,30,4777,796360.00,
539957,MGL         ,A ,Q,1022.95,1026.45,1004.00,1008.40,1008.40,1022.30,744,12252,12438911.00,
539962,QFSL        ,ST,Q,0.37,0.37,0.37,0.37,0.37,0.36,33,109471,40504.00,
539963,ZEAL        ,M ,Q,554.00,554.00,554.00,554.00,554.00,546.00,2,500,277000.00,
539978,QUESS       ,B ,Q,995.00,1038.45,974.00,1021.95,1021.95,985.50,2877,40973,41342637.00,
539979,DIGJAMLTD   ,T ,Q,13.85,14.14,13.60,13.74,13.60,13.75,102,55115,762661.00,
539980,MIDCAPIWIN  ,B ,Q,74.37,74.37,73.61,73.93,73.94,74.63,8,566,41916.00,
539981,MAXINDIA    ,A ,Q,118.30,118.30,113.00,116.60,116.60,114.05,573,28889,3316552.00,
539986,COMSYN      ,M ,Q,54.50,54.50,54.50,54.50,54.50,50.50,1,3000,163500.00,
539992,LLOYDSTEEL  ,T ,Q,2.35,2.35,2.35,2.35,2.35,2.47,107,184425,433398.00,
539997,KPL         ,MT,Q,60.60,60.60,60.60,60.60,60.60,61.00,1,3000,181800.00,
540005,LTI         ,A ,Q,1298.50,1331.00,1278.40,1294.05,1294.05,1274.95,3007,35559,46243342.00,
540006,BULL        ,X ,Q,39.80,39.80,38.15,38.15,38.15,40.10,9,20380,777711.00,
540023,MIENT       ,X ,Q,42.00,44.85,37.15,39.50,39.45,42.60,179,36882,1546755.00,
540024,ASHARI      ,X ,Q,47.80,48.25,47.65,48.20,48.25,47.75,1642,47426,2277038.00,
540025,ADVENZYMES  ,A ,Q,265.00,267.50,260.95,261.45,261.45,264.25,926,27874,7354437.00,
540026,LAHL        ,XT,Q,8.45,8.45,8.45,8.45,8.45,8.45,1,2,16.00,
540027,PTIL        ,M ,Q,278.00,279.00,271.50,273.45,274.50,280.40,24,51000,13962150.00,
540047,DBL         ,A ,Q,920.45,970.00,913.00,958.90,958.90,908.60,4019,79109,74443035.00,
540048,SPAL        ,B ,Q,372.95,388.00,370.05,372.45,370.10,381.45,114,4300,1633068.00,
540061,BIGBLOC     ,B ,Q,136.00,137.50,133.80,135.55,135.55,135.05,108,22645,3074078.00,
540063,ECS         ,ST,Q,9.63,9.63,9.45,9.45,9.45,9.64,2,700,6705.00,
540064,FRETAIL     ,A ,Q,560.00,561.60,539.00,542.85,539.00,559.15,707,13187,7270904.00,
540065,RBLBANK     ,A ,Q,505.00,510.90,493.00,504.55,503.30,504.80,1968,107583,54239659.00,
540071,CAMSONSEEDS ,XT,Q,25.50,27.35,25.00,27.25,27.35,26.05,118,41932,1133729.00,
540072,SHIVAEXPO   ,M ,Q,21.00,21.00,21.00,21.00,21.00,21.35,2,20000,420000.00,
540073,BLS         ,B ,Q,201.85,214.50,201.00,209.30,211.25,199.35,1609,83610,17368236.00,
540080,NARAYANI    ,M ,Q,55.00,55.00,55.00,55.00,55.00,51.50,2,8000,440000.00,
540081,GOVNOW      ,T ,Q,14.80,14.80,14.80,14.80,14.80,14.10,3,380,5624.00,
540082,RSTL        ,M ,Q,52.10,52.10,52.10,52.10,52.10,54.00,1,3000,156300.00,
540083,TVVISION    ,T ,Q,20.80,20.80,20.80,20.80,20.80,19.85,28,16774,348899.00,
540097,VISCO       ,XT,Q,18.75,18.85,18.75,18.80,18.85,18.70,4,1200,22560.00,
540108,TAHL        ,X ,Q,18.50,18.60,17.95,18.35,18.20,18.00,151,158602,2918383.00,
540115,LTTS        ,A ,Q,1210.00,1319.50,1210.00,1304.55,1304.55,1207.10,4055,37766,48437631.00,
540124,GNA         ,B ,Q,454.20,457.95,435.05,441.30,441.30,453.15,481,16648,7386591.00,
540125,RADHIKAJWE  ,M ,Q,37.50,37.50,35.60,35.90,35.90,37.50,5,9600,347840.00,
540133,ICICIPRULI  ,B ,Q,410.10,428.50,397.35,424.90,424.90,406.25,7016,645037,272548796.00,
540134,IISL        ,XT,Q,16.90,16.90,15.50,15.55,15.50,16.13,41,6727,106558.00,
540135,ARCFIN      ,XT,Q,5.40,5.40,5.38,5.38,5.38,5.38,16,6332,34147.00,
540136,HPL         ,B ,Q,149.95,156.60,148.00,152.95,152.95,149.05,607,32944,5029385.00,
540143,SAGARSOFT   ,X ,Q,88.25,90.80,85.35,90.75,89.15,86.50,150,23576,2117528.00,
540145,VALIANTORG  ,M ,Q,779.75,780.00,779.75,780.00,780.00,770.10,3,900,701925.00,
540146,ACML        ,M ,Q,188.00,188.00,188.00,188.00,188.00,189.75,1,2000,376000.00,
540147,SHASHIJIT   ,M ,Q,32.50,32.50,32.50,32.50,32.50,30.75,1,4000,130000.00,
540153,ENDURANCE   ,B ,Q,1179.95,1227.95,1179.95,1198.65,1194.00,1196.10,236,2976,3568894.00,
540154,IDFSENSEXE  ,B ,Q,375.00,375.00,369.00,369.00,369.00,370.00,3,5,1854.00,
540168,SUPRAP      ,X ,Q,19.00,19.00,19.00,19.00,19.00,18.25,1,10,190.00,
540173,PNBHOUSING  ,A ,Q,1305.00,1326.65,1285.00,1296.55,1296.55,1297.20,1202,20669,27007814.00,
540175,REGENCY     ,X ,Q,39.50,40.00,38.90,39.05,39.05,39.00,50,10483,412356.00,
540180,VBL         ,B ,Q,689.00,724.50,667.65,672.75,672.75,691.05,1372,29336,20361861.00,
540189,UPROTECH    ,XT,Q,4.64,4.64,4.64,4.64,4.64,4.88,2,21,97.00,
540190,FRANKLININD ,XT,Q,12.39,12.39,12.39,12.39,12.39,12.39,1,108,1338.00,
540192,LKPSEC      ,X ,Q,22.90,22.90,22.00,22.10,22.05,22.20,41,13173,293704.00,
540203,SFL         ,B ,Q,1590.00,1619.80,1560.00,1614.90,1619.80,1590.00,21,100,159761.00,
540210,TMRVL       ,B ,Q,149.20,153.30,146.00,152.70,151.10,149.70,108,2877,432914.00,
540212,TCIEXP      ,B ,Q,542.00,550.00,519.50,522.75,521.10,533.10,382,4320,2310145.00,
540222,LAURUSLABS  ,A ,Q,515.15,520.60,502.50,517.55,519.00,519.00,355,89326,46401974.00,
540243,NEWLIGHT    ,XT,Q,24.00,24.00,22.25,24.00,24.00,23.20,35,3041,72814.00,
540267,FLORACORP   ,XT,Q,11.08,11.08,11.08,11.08,11.08,10.56,9,95220,1055037.00,
